Project Number,Project Number Sequence,Plan Series,Capital Plan,Agency Name,Category Description,Element Description,Project Description,Latitude,Longitude,Location Indicator,Location
T5041311,1,5,Capital Plan 2005 - 2009,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,Station Accessibility (ADA) 96th Street Station - Broadway-7th Avenue Line,40.794649,-73.9718,base,"(40.794649, -73.9718)"
N6110102,1,6,Capital Plan 2010 - 2014,Mta Interagency,MTA BSC / FACILITIES REHAB,MTA BSC / FACILITIES REHAB,Rehabilitation of Jay Street Building,40.693411,-73.987277,base,"(40.693411, -73.987277)"
T7080640,14,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.6788,-73.920399,multilocation,"(40.6788, -73.920399)"
T6080604,37,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address/Customer Info Screen Systems,40.694697,-73.949072,multilocation,"(40.694697, -73.949072)"
ET100219,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,SHOPS & YARDS,SHOPS & YARDS REPAIRS: SANDY,Recovery: Yard Track (207 Street Yard),40.866039,-73.913893,base,"(40.866039, -73.913893)"
T7100402,1,7,Capital Plan 2015 - 2019,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,207 Street Maintenance and Overhaul Shop Roof & Component Replacement,40.866085,-73.915321,base,"(40.866085, -73.915321)"
T7080640,260,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.718333,-73.987477,multilocation,"(40.718333, -73.987477)"
T7080610,50,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.807562,-73.919244,multilocation,"(40.807562, -73.919244)"
T6040709,3,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS/ELEVATORS,Replace 12 Traction Elevators on the Broadway/7th Avenue Line - Design Only,40.840742,-73.940286,multilocation,"(40.840742, -73.940286)"
T8080660,9,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,COMMUNICATION SYSTEMS,Comm Room Upgrade: APC Replacement,40.852521,-73.82805,multilocation,"(40.852521, -73.82805)"
L80204RR,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,STATIONS,STATIONS AND BUILDINGS,ADA: 7 Stations,40.675202,-73.765041,multilocation,"(40.675202, -73.765041)"
T5080615,30,5,Capital Plan 2005 - 2009,New York City Transit,SIGNALS AND COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address / Customer Information Screens - Phase 3,40.752855,-73.932822,multilocation,"(40.752855, -73.932822)"
T60412E5,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of Astoria-Ditmars Blvd Station on the Astoria Line - Design Only,40.774672,-73.912521,base,"(40.774672, -73.912521)"
T8090404,10,8,Capital Plan 2020 - 2024,New York City Transit,TRACTION POWER,POWER DISTRIBUTION,Rehabilitation of 11 CBHs and 1 Enclosure - Design Only,40.598347,-73.955683,multilocation,"(40.598347, -73.955683)"
T7080610,32,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.747864,-73.946099,multilocation,"(40.747864, -73.946099)"
M6020203,3,6,Capital Plan 2010 - 2014,Metro-North Railroad,STATIONS,OUTLYING STATIONS,Harlem Line Stations Component Renewal,40.912142,-73.851136,multilocation,"(40.912142, -73.851136)"
T8080313,11,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,SIGNAL MODERNIZATION,CBTC: Flushing Line Equipment Removals,40.753945,-73.982535,multilocation,"(40.753945, -73.982535)"
ET070307,7,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE STRUCTURES,LINE STRUCTRE MITIGATION:SANDY,Mitigation: Internal Tunnel Sealing,40.762621,-73.967911,multilocation,"(40.762621, -73.967911)"
T7080350,8,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control on the Queens Boulevard Line West - Phase 1,40.747882,-73.946231,multilocation,"(40.747882, -73.946231)"
T8050324,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2022 / 8th Avenue,40.674318,-73.865468,multilocation,"(40.674318, -73.865468)"
U7030204,2,7,Capital Plan 2015 - 2019,Mta Bus Company,BUS COMPANY PROJECTS,BUS COMPANY PROJECTS,Depot Bus Location System,40.661236,-73.773689,multilocation,"(40.661236, -73.773689)"
T6080622,77,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 93 Stations,40.768401,-73.981896,multilocation,"(40.768401, -73.981896)"
T7080629,2,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 61 Street-Woodside and 46 Street-Bliss Street Stations on the Flushing Line (SBMP),40.745648,-73.902899,multilocation,"(40.745648, -73.902899)"
G8100102,4,8,Capital Plan 2020 - 2024,Capital Construction Company,FULL LENGTH SECOND AVE SUBWAY,FULL LENGTH SECOND AVE SUBWAY,SAS Ph 2: PM/CM/Support Reserve,40.79075,-73.94213,multilocation,"(40.79075, -73.94213)"
M7030217,1,7,Capital Plan 2015 - 2019,Metro-North Railroad,TRACK AND STRUCTURES,STRUCTURES,270 Park Avenue GCT Trainshed,40.756,-73.975578,base,"(40.756, -73.975578)"
ET040320,5,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Critical Room Resiliency,40.707286,-74.013165,multilocation,"(40.707286, -74.013165)"
T8050310,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2020 / White Plains Rd,40.882742,-73.863271,multilocation,"(40.882742, -73.863271)"
T6080649,6,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations,40.799361,-73.968426,multilocation,"(40.799361, -73.968426)"
L8050202,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,COMMUNICATIONS & SIGNALS,SIGNAL IMPROVEMENTS,Hunt to Post,40.881591,-73.30831,base,"(40.881591, -73.30831)"
T8040717,7,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 19 Elevators at Various Locations,40.757835,-73.969713,multilocation,"(40.757835, -73.969713)"
D705RK58,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,BUILDINGS & SITES,ROBERT F. KENNEDY BRIDGE,Rehabilitation of Robert Moses Building and Ancillary Facilities on Randall's Island - Design Only,40.799322,-73.92108,base,"(40.799322, -73.92108)"
T6090201,4,6,Capital Plan 2010 - 2014,New York City Transit,TRACTION POWER,SUBSTATIONS,Rehabilitate 5 Substation Enclosures,40.591813,-73.80889,multilocation,"(40.591813, -73.80889)"
T6040407,8,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,FARE COLLECTION,Passenger Station Local Area Network at 8 Stations,40.739683,-74.002327,multilocation,"(40.739683, -74.002327)"
L70204V9,1,7,Capital Plan 2015 - 2019,Long Island Rail Road,STATIONS,STATION AND BUILDINGS,"Enhanced Station Initiatives [ESI]: Phase 2 - 6 Stations:  Great Neck, Bayside, Northport, Valley Stream, Ronkonkoma, and Baldwin.",40.7631358,-73.7708316,multilocation,"(40.7631358, -73.7708316)"
L70204UM,1,7,Capital Plan 2015 - 2019,Long Island Rail Road,STATIONS,STATION AND BUILDINGS,Murray Hill Station - New Elevators,40.7627,-73.8145,base,"(40.7627, -73.8145)"
T6060401,1,6,Capital Plan 2010 - 2014,New York City Transit,LINE EQUIPMENT,PUMPING FACILITIES,Rehabilitation of Deep Wells on the Nostrand Ave Line - Design Only,40.6410126,-73.9486846,multilocation,"(40.6410126, -73.9486846)"
T6060402,4,6,Capital Plan 2010 - 2014,New York City Transit,LINE EQUIPMENT,PUMPING FACILITIES,Rehabilitation of Deep Wells on the Crosstown Line,40.6980129,-73.9496404,multilocation,"(40.6980129, -73.9496404)"
T7100409,3,7,Capital Plan 2015 - 2019,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,Heavy Shop Equipment,40.753811,-73.842402,multilocation,"(40.753811, -73.842402)"
T6120414,10,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Automated Fuel Management System Upgrade,40.866071,-73.832775,multilocation,"(40.866071, -73.832775)"
T7080632,3,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 39 Stations (In-House),40.67944,-73.904324,multilocation,"(40.67944, -73.904324)"
T7080640,263,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.713554,-73.990162,multilocation,"(40.713554, -73.990162)"
T7041235,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of Platform Components at Bedford-Nostrand on the Crosstown Line,40.689628,-73.953504,base,"(40.689628, -73.953504)"
ET090307,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACTION POWER,TRACTIONPOWER MITIGATION:SANDY,Mitigation: Substation Hardening at 24 Locations,40.671983,-73.993275,multilocation,"(40.671983, -73.993275)"
T7080613,1,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Replacement of Public Address/Customer Information Screens Electronics on the Canarsie Line,40.646651,-73.901878,multilocation,"(40.646651, -73.901878)"
T7080652,7,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,PA/CIS Upgrade - Canarsie Line - Design Only,40.714049,-73.950258,multilocation,"(40.714049, -73.950258)"
T6070322,2,6,Capital Plan 2010 - 2014,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Portal Repairs on the Broadway-7 Avenue Line,40.811893,-73.961077,multilocation,"(40.811893, -73.961077)"
D703AW32,2,7,Capital Plan 2015 - 2019,Bridges And Tunnels,TOLL PLAZAS & ATMS,AGENCY-WIDE,"Installation of Rotating Prism Signs (RPS) at the Bronx-Whitestone, Throgs Neck and Verrazano-Narrows Bridges",40.814053,-73.837749,multilocation,"(40.814053, -73.837749)"
T6070318,1,6,Capital Plan 2010 - 2014,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Overcoat Painting from Cypress Hills-130 St on the Jamaica Line,40.689986,-73.872466,base,"(40.689986, -73.872466)"
T6120307,1,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT REHAB AND RECONSTRUCTION,New Elevator at the Medical Assessment Center at Queens Village Bus Depot (SBMP),40.717013,-73.730417,base,"(40.717013, -73.730417)"
T60412F4,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Reconstruction of Hard Rail Track Panels at 9 Stations on the Sea Beach Line,40.592394,-73.978184,multilocation,"(40.592394, -73.978184)"
T8040715,3,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 14 Elevators at 5 Locations,40.827755,-73.926111,multilocation,"(40.827755, -73.926111)"
U8030223,2,8,Capital Plan 2020 - 2024,Mta Bus Company,BUS COMPANY PROJECTS,BUS COMPANY PROJECTS,Facade Repair & Restoration: 3 Bus Depots,40.688595,-73.784492,multilocation,"(40.688595, -73.784492)"
T60412G5,3,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Ventilator Repairs at 3 Locations in Southeast Brooklyn,40.644051,-73.979683,multilocation,"(40.644051, -73.979683)"
M7020213,1,7,Capital Plan 2015 - 2019,Metro-North Railroad,STATIONS,OUTLYING STATIONS,Station Improvements Project,41.033455,-73.775231,multilocation,"(41.033455, -73.775231)"
T8041236,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Grand Central: Widening Stairs U2/U6 on the Lexington Line - Design Only,40.751776,-73.976911,base,"(40.751776, -73.976911)"
T6041296,2,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Component Repairs at President Street and Newkirk Avenue Stations on the Nostrand Avenue Line - Design Only,40.640011,-73.948446,multilocation,"(40.640011, -73.948446)"
T8050326,6,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2022 / Myrtle,40.71066,-73.889855,multilocation,"(40.71066, -73.889855)"
T5070303,2,5,Capital Plan 2005 - 2009,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Overcoat Bronx Park East to 241st Street - White Plains Road Line,40.865417,-73.867352,multilocation,"(40.865417, -73.867352)"
T6080649,40,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations,40.823582,-73.935832,multilocation,"(40.823582, -73.935832)"
T60412C4,8,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Component Repairs at 3 Stations on the 8th Avenue Line,40.840889,-73.939597,multilocation,"(40.840889, -73.939597)"
T8060519,14,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Fiber Optic Cable on the 8 Avenue Line,40.729695,-74.002142,multilocation,"(40.729695, -74.002142)"
T7080640,75,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.604081,-73.980385,multilocation,"(40.604081, -73.980385)"
T8070334,11,8,Capital Plan 2020 - 2024,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Rehabilitation of Emergency Exits at 12 Locations,40.673507,-73.885935,multilocation,"(40.673507, -73.885935)"
T7060503,3,7,Capital Plan 2015 - 2019,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Replace Supervisory Vent Controls at Various Locations,40.733971,-73.988692,multilocation,"(40.733971, -73.988692)"
T7080620,33,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 49 Stations,40.661475,-73.916331,multilocation,"(40.661475, -73.916331)"
T5090212,19,5,Capital Plan 2005 - 2009,New York City Transit,POWER,SUBSTATIONS,Rehabilitate Underground Substation Hatchways,40.747887,-73.989149,multilocation,"(40.747887, -73.989149)"
T7041262,3,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Lighting at Canal St on the Nassau Loop Line and 7th Ave on the 6th Ave Line (SBMP),40.718377,-73.993704,multilocation,"(40.718377, -73.993704)"
T6041285,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Ventilator Repairs at 4 Locations on the Queens Boulevard Line,40.705479,-73.810569,multilocation,"(40.705479, -73.810569)"
T6060305,16,6,Capital Plan 2010 - 2014,New York City Transit,LINE EQUIPMENT,VENTILATION FACILITIES,Replace Ventilation Controls at 22 Locations,40.830139,-73.931419,multilocation,"(40.830139, -73.931419)"
T7080610,18,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.873237,-73.887146,multilocation,"(40.873237, -73.887146)"
T7080633,32,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 49 Stations (Transit Wireless),40.680449,-73.950477,multilocation,"(40.680449, -73.950477)"
ET060209,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMENT REPAIRS: SANDY,Recovery: Fan Plant (Montague Tube),40.701348,-74.011222,base,"(40.701348, -74.011222)"
T8041227,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Platform Components: 137 Street on the Broadway-7 Avenue Line,40.821437,-73.954094,base,"(40.821437, -73.954094)"
T7080332,1,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC) from Church Avenue to West 8 Street on the Culver Line,40.589585,-73.974189,multilocation,"(40.589585, -73.974189)"
T5041107,1,5,Capital Plan 2005 - 2009,New York City Transit,PASSENGER STATIONS,STATION REHABILITATION,Rehabilitate Avenue U Station - Brighton Line,40.598901,-73.95583,base,"(40.598901, -73.95583)"
L60204UH,1,6,Capital Plan 2010 - 2014,Long Island Rail Road,STATIONS,STATION AND BUILDINGS,Elevator Replacement Program,40.6583101,-73.6466187,multilocation,"(40.6583101, -73.6466187)"
ET040314,4,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Stairwell Protection (Flexgates),40.719494,-74.001868,multilocation,"(40.719494, -74.001868)"
T7060503,8,7,Capital Plan 2015 - 2019,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Replace Supervisory Vent Controls at Various Locations,40.703805,-74.008519,multilocation,"(40.703805, -74.008519)"
T7080613,18,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Replacement of Public Address/Customer Information Screens Electronics on the Canarsie Line,40.714583,-73.943774,multilocation,"(40.714583, -73.943774)"
T5080615,41,5,Capital Plan 2005 - 2009,New York City Transit,SIGNALS AND COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address / Customer Information Screens - Phase 3,40.845701,-73.91044,multilocation,"(40.845701, -73.91044)"
T7041273,2,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair Mezzanine Components at 3 Locations on the 8 Avenue and Lexington Avenue Lines (SBMP),40.805032,-73.954942,multilocation,"(40.805032, -73.954942)"
T6160715,2,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Rehabilitation of 9 Employee Facilities on the Crosstown Line,40.731269,-73.954432,multilocation,"(40.731269, -73.954432)"
T6080335,2,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,"Signal Fire Room Suppression, Phase 2 - Design Only",40.689628,-73.953504,multilocation,"(40.689628, -73.953504)"
T6080662,51,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Access Nodes at 60 Stations,40.700509,-73.82824,multilocation,"(40.700509, -73.82824)"
L70401C4,1,7,Capital Plan 2015 - 2019,Long Island Rail Road,LINE STRUCTURES,BRIDGES,Cherry Valley Road Bridge Replacement,40.7228876,-73.643653,base,"(40.7228876, -73.643653)"
ET160308,2,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,MISCELLANEOUS/EMERGENCY,MISCELLANEOUS MITIGATION:SANDY,Mitigation: Near-Term Flood Protection at Hammels Wye - Design Only,40.593146,-73.774053,multilocation,"(40.593146, -73.774053)"
T8070334,2,8,Capital Plan 2020 - 2024,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Rehabilitation of Emergency Exits at 12 Locations,40.636352,-73.947868,multilocation,"(40.636352, -73.947868)"
T7080633,46,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 49 Stations (Transit Wireless),40.69983,-73.91161,multilocation,"(40.69983, -73.91161)"
G6090147,1,6,Capital Plan 2010 - 2014,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA: Harold Track Work / 48th St. Bridge and Retaining Wall,40.7473,-73.9339,base,"(40.7473, -73.9339)"
T6090216,8,6,Capital Plan 2010 - 2014,New York City Transit,TRACTION POWER,SUBSTATIONS,Replace 25 Hz Frequency Converters at 10 Substations - Design Only,40.7639,-73.98357,multilocation,"(40.7639, -73.98357)"
T7080640,103,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.636296,-73.994751,multilocation,"(40.636296, -73.994751)"
T7041298,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Enhanced Station Initiative: Package 1 - Prospect Avenue on the 4th Avenue Line,40.665431,-73.992887,base,"(40.665431, -73.992887)"
T7070305,1,7,Capital Plan 2015 - 2019,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Elevated Structural Repair of Over-land Section on the Rockaway Line - Design Only,40.584604,-73.822565,multilocation,"(40.584604, -73.822565)"
ET040310,6,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Sidewalk Vent Covers (SBFP),40.707336,-74.013898,multilocation,"(40.707336, -74.013898)"
